total_packet_rate,total_byte_rate,avg_packet_size,tcp_rate,syn_rate,ack_rate,syn_to_ack_ratio,unique_source_ips,label
126.5,7603.5,60.10671936758893,126.0,63.0,63.0,0.9999999920634921,2,1
136.5,8458.0,61.96336996336996,126.0,63.0,63.0,0.9999999920634921,2,1
134.5,8189.0,60.88475836431227,126.0,63.0,63.0,0.9999999920634921,2,1
134.0,8128.0,60.656716417910445,126.0,63.0,63.0,0.9999999920634921,2,1
138.5,8762.5,63.26714801444043,126.0,63.0,63.0,0.9999999920634921,2,1
140.5,9211.5,65.56227758007117,126.0,63.0,63.0,0.9999999920634921,2,1
131.0,7923.0,60.48091603053435,126.0,63.0,63.0,0.9999999920634921,2,1
135.0,8260.0,61.18518518518518,129.5,64.5,65.0,0.9923076846745563,2,1
131.5,8065.0,61.330798479087456,125.5,63.0,62.5,1.007999991936,2,1
131.0,7876.0,60.12213740458015,126.0,63.0,63.0,0.9999999920634921,2,1
129.0,7740.0,60.0,126.0,63.0,63.0,0.9999999920634921,2,1
131.0,7922.0,60.47328244274809,126.0,63.0,63.0,0.9999999920634921,2,1
139.0,8619.0,62.007194244604314,125.5,62.5,63.0,0.9920634841899724,2,1
134.5,8245.0,61.301115241635685,125.5,63.0,62.5,1.007999991936,2,1
129.0,7787.0,60.36434108527132,126.0,63.0,63.0,0.9999999920634921,2,1
131.5,8050.0,61.21673003802282,126.0,63.0,63.0,0.9999999920634921,2,1
136.5,8602.0,63.01831501831502,126.0,63.0,63.0,0.9999999920634921,2,1
151.5,10692.0,70.57425742574257,126.0,63.0,63.0,0.9999999920634921,2,1
146.0,9894.5,67.77054794520548,125.5,62.5,63.0,0.9920634841899724,2,1
152.0,10505.0,69.11184210526316,125.5,63.0,62.5,1.007999991936,2,1
133.5,8802.5,65.93632958801498,126.0,63.0,63.0,0.9999999920634921,2,1
129.5,8053.0,62.18532818532819,125.5,62.5,63.0,0.9920634841899724,2,1
138.0,11299.5,81.8804347826087,125.5,63.0,62.5,1.007999991936,2,1
133.0,9309.0,69.99248120300751,126.0,63.0,63.0,0.9999999920634921,2,1
136.0,8937.0,65.71323529411765,124.0,62.0,62.0,0.999999991935484,2,1
133.0,8803.0,66.18796992481202,126.0,63.0,63.0,0.9999999920634921,2,1
135.0,8189.0,60.65925925925926,126.0,63.0,63.0,0.9999999920634921,2,1
136.5,8567.5,62.765567765567766,126.0,63.0,63.0,0.9999999920634921,2,1
135.5,8528.5,62.94095940959409,126.0,63.0,63.0,0.9999999920634921,2,1
134.0,8215.0,61.30597014925373,125.0,62.5,62.5,0.9999999920000001,2,1
127.0,7652.0,60.25196850393701,126.0,63.0,63.0,0.9999999920634921,2,1
129.0,7740.0,60.0,126.0,63.0,63.0,0.9999999920634921,2,1
127.5,7650.0,60.0,126.0,63.0,63.0,0.9999999920634921,2,1
135.0,8368.0,61.98518518518519,126.0,63.0,63.0,0.9999999920634921,2,1
133.0,8156.0,61.32330827067669,126.0,63.0,63.0,0.9999999920634921,2,1
129.0,7828.0,60.68217054263566,126.0,63.0,63.0,0.9999999920634921,2,1
132.5,8348.5,63.00754716981132,126.0,63.0,63.0,0.9999999920634921,2,1
132.0,8095.0,61.32575757575758,126.0,63.0,63.0,0.9999999920634921,2,1
129.5,7833.0,60.486486486486484,126.0,63.0,63.0,0.9999999920634921,2,1
135.5,8290.0,61.18081180811808,127.0,63.5,63.5,0.9999999921259843,2,1
133.0,8181.0,61.51127819548872,126.5,63.0,63.5,0.9921259764399529,2,1
126.0,7576.0,60.12698412698413,125.5,63.0,62.5,1.007999991936,2,1
129.5,7827.0,60.44015444015444,126.5,63.0,63.5,0.9921259764399529,2,1
132.0,7982.0,60.46969696969697,125.5,63.0,62.5,1.007999991936,2,1
133.5,8232.0,61.662921348314605,126.0,63.0,63.0,0.9999999920634921,2,1
132.0,8095.0,61.32575757575758,126.0,63.0,63.0,0.9999999920634921,2,1
154.0,9987.0,64.85064935064935,126.0,63.0,63.0,0.9999999920634921,2,1
151.5,9780.0,64.55445544554455,126.5,63.0,63.5,0.9921259764399529,2,1
150.5,9683.0,64.33887043189368,126.0,63.0,63.0,0.9999999920634921,2,1
146.5,9369.0,63.95221843003413,125.5,63.0,62.5,1.007999991936,2,1
140.0,8807.0,62.90714285714286,126.0,63.0,63.0,0.9999999920634921,2,1
138.0,8647.0,62.65942028985507,125.5,62.5,63.0,0.9920634841899724,2,1
126.0,7769.0,61.65873015873016,125.5,63.0,62.5,1.007999991936,2,1
129.5,7894.0,60.95752895752896,124.0,62.0,62.0,0.999999991935484,2,1
157.0,10203.0,64.98726114649682,127.5,64.5,63.0,1.0238095156840514,2,1
135.0,8511.5,63.04814814814815,126.0,63.0,63.0,0.9999999920634921,2,1
133.0,8197.0,61.63157894736842,125.5,62.5,63.0,0.9920634841899724,2,1
134.5,8302.0,61.72490706319702,125.5,63.0,62.5,1.007999991936,2,1
128.5,7783.0,60.568093385214006,126.0,63.0,63.0,0.9999999920634921,2,1
137.5,8653.5,62.93454545454546,127.5,64.5,63.0,1.0238095156840514,2,1
136.0,8361.0,61.47794117647059,126.0,63.0,63.0,0.9999999920634921,2,1
131.0,7876.0,60.12213740458015,126.0,63.0,63.0,0.9999999920634921,2,1
127.5,7650.0,60.0,126.0,63.0,63.0,0.9999999920634921,2,1
