total_packet_rate,total_byte_rate,avg_packet_size,icmp_rate,icmp_to_total_ratio,unique_source_ips,label
9.5,1202.0,126.52631578947368,0.0,0.0,10,0
13.5,1277.0,94.5925925925926,0.0,0.0,10,0
15.5,1430.0,92.25806451612904,0.0,0.0,12,0
3.5,322.5,92.14285714285714,0.0,0.0,3,0
4.0,581.0,145.25,0.0,0.0,4,0
20.5,6386.5,311.5365853658537,0.0,0.0,7,0
9.5,1078.5,113.52631578947368,0.0,0.0,6,0
11.5,1550.0,134.7826086956522,0.0,0.0,9,0
15.5,1274.0,82.19354838709677,0.0,0.0,12,0
14.0,1366.0,97.57142857142857,0.0,0.0,10,0
17.5,2236.5,127.8,0.0,0.0,10,0
8.5,776.0,91.29411764705883,0.0,0.0,10,0
5.5,403.0,73.27272727272727,0.0,0.0,3,0
5.0,686.0,137.2,0.0,0.0,6,0
4.5,3181.0,706.8888888888889,0.0,0.0,2,0
6.5,1157.0,178.0,0.0,0.0,3,0
26.0,2611.0,100.42307692307692,0.0,0.0,5,0
20.5,2669.0,130.1951219512195,4.0,0.1951219512195122,6,0
7.5,499.5,66.6,0.0,0.0,6,0
8.0,837.0,104.625,0.0,0.0,5,0
8.5,887.0,104.3529411764706,1.0,0.11764705882352941,8,0
5.5,877.0,159.45454545454547,0.0,0.0,3,0
5.5,624.0,113.45454545454545,0.0,0.0,4,0
5.5,631.5,114.81818181818181,0.0,0.0,3,0
10.5,2229.5,212.33333333333334,0.0,0.0,4,0
10.0,723.0,72.3,0.0,0.0,5,0
27.5,2275.5,82.74545454545455,0.0,0.0,6,0
19.0,2602.0,136.94736842105263,4.0,0.21052631578947367,9,0
5.5,385.5,70.0909090909091,0.0,0.0,4,0
6.0,616.5,102.75,0.5,0.08333333333333333,4,0
5.5,724.5,131.72727272727272,0.5,0.09090909090909091,4,0
4.0,432.5,108.125,0.0,0.0,4,0
3.0,296.5,98.83333333333333,0.0,0.0,4,0
5.0,323.5,64.7,0.0,0.0,3,0
3.0,245.5,81.83333333333333,0.0,0.0,4,0
21.0,1677.0,79.85714285714286,0.0,0.0,3,0
14.0,2165.0,154.64285714285714,3.0,0.21428571428571427,4,0
5.5,424.0,77.0909090909091,1.0,0.18181818181818182,4,0
6.5,468.0,72.0,0.5,0.07692307692307693,5,0
6.5,459.5,70.6923076923077,0.5,0.07692307692307693,6,0
5.5,468.5,85.18181818181819,0.0,0.0,5,0
2.5,223.0,89.2,0.0,0.0,2,0
22.5,1815.0,80.66666666666667,0.0,0.0,3,0
12.5,2027.0,162.16,3.0,0.24,4,0
10.5,925.5,88.14285714285714,1.0,0.09523809523809523,9,0
8.0,574.0,71.75,0.5,0.0625,5,0
3.5,288.0,82.28571428571429,0.5,0.14285714285714285,4,0
2.5,223.0,89.2,0.0,0.0,2,0
