total_packet_rate,total_byte_rate,avg_packet_size,udp_rate,udp_to_total_ratio,unique_source_ips,label
16.0,1218.5,76.15625,8.0,0.5,4,0
20.0,2599.0,129.95,7.5,0.375,6,0
12.5,833.0,66.64,2.0,0.16,6,0
7.0,493.0,70.42857142857143,2.0,0.2857142857142857,5,0
8.5,593.0,69.76470588235294,3.0,0.35294117647058826,5,0
8.0,537.0,67.125,0.0,0.0,6,0
6.0,376.0,62.666666666666664,0.5,0.08333333333333333,3,0
4.5,405.0,90.0,3.0,0.6666666666666666,2,0
7.0,637.5,91.07142857142857,2.0,0.2857142857142857,3,0
22.5,2043.5,90.82222222222222,14.5,0.6444444444444445,3,0
14.0,2119.0,151.35714285714286,3.0,0.21428571428571427,4,0
7.5,590.0,78.66666666666667,1.5,0.2,8,0
7.5,582.5,77.66666666666667,2.5,0.3333333333333333,5,0
9.0,902.5,100.27777777777777,4.5,0.5,5,0
5.5,524.5,95.36363636363636,2.0,0.36363636363636365,3,0
6.0,552.5,92.08333333333333,1.5,0.25,3,0
21.0,1640.0,78.0952380952381,12.5,0.5952380952380952,4,0
19.0,2614.5,137.60526315789474,4.0,0.21052631578947367,5,0
11.5,1014.5,88.21739130434783,4.0,0.34782608695652173,9,0
6.0,621.5,103.58333333333333,4.5,0.75,4,0
2.5,223.0,89.2,2.0,0.8,2,0
2.5,223.0,89.2,2.0,0.8,2,0
13.0,1040.0,80.0,7.5,0.5769230769230769,3,0
20.5,2645.0,129.02439024390245,8.0,0.3902439024390244,5,0
8.5,577.0,67.88235294117646,0.0,0.0,7,0
3.0,180.0,60.0,0.5,0.16666666666666666,2,0
6.5,551.0,84.76923076923077,4.0,0.6153846153846154,4,0
2.5,223.0,89.2,2.0,0.8,2,0
2.5,223.0,89.2,2.0,0.8,2,0
5.5,403.0,73.27272727272727,2.0,0.36363636363636365,3,0
7.0,511.0,73.0,1.5,0.21428571428571427,7,0
5.5,742.0,134.9090909090909,4.0,0.7272727272727273,4,0
23.5,2287.0,97.31914893617021,15.5,0.6595744680851063,3,0
11.5,2068.0,179.82608695652175,2.5,0.21739130434782608,2,0
1.5,95.0,63.333333333333336,0.0,0.0,2,0
11.0,1542.5,140.22727272727272,5.0,0.45454545454545453,4,0
9.5,1471.0,154.8421052631579,4.0,0.42105263157894735,5,0
7.0,550.0,78.57142857142857,2.0,0.2857142857142857,7,0
2.0,182.5,91.25,1.0,0.5,2,0
3.0,266.0,88.66666666666667,2.0,0.6666666666666666,2,0
2.5,223.0,89.2,2.0,0.8,2,0
3.0,413.5,137.83333333333334,2.5,0.8333333333333334,2,0
6.5,499.5,76.84615384615384,3.5,0.5384615384615384,4,0
